_RAJ2000,_DEJ2000,ALS,Name,RAJ,mag,n_mag,RAJ2000,DEJ2000,GLON,GLAT,Simbad,main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,nbref,ra_sexa,dec_sexa,coo_qual,coo_bibcode,main_type,other_types,radvel,radvel_err,redshift,redshift_err,sp_type,morph_type,plx,plx_err,pmra,pmdec,pm_err_maj,pm_err_min,pm_err_pa,size_maj,size_min,size_angle,B,V,R_x,J,H,K,u,g,r_xa,i,z,angDist
79.112917,46.416111,8253,LS   V +46  26,"(5.0, 16.0, 27.1)",6.9,V,05 16 27.1,+46 24 58,162.22,4.77,Simbad,*  12 Aur,79.1128457663,46.416058822,0.0,0.0,90.0,45,05 16 27.08298,+46 24 57.8118,A,2020yCat.1350....0G,Be*,*|Be*|Em*|IR|UV,-32.9,5.0,-1.097E-4,1.67E-5,B2Ve,,1.5264,0.0303,-3.321,-1.106,0.034,0.029,90,,,,7.06,6.95,,6.206,6.12,5.915,,,,,,0.257955
81.340833,34.173889,8331,LS   V +34   6,"(5.0, 25.0, 21.8)",8.4,V,05 25 21.8,+34 10 26,173.26,-0.8,Simbad,HD  35314,81.3409967469,34.1739582025,0.0,0.0,90.0,20,05 25 21.83922,+34 10 26.2495,A,2020yCat.1350....0G,Star,*|IR,-31.1,2.5,-1.037E-4,8.3E-6,B8,,0.4355,0.0246,-0.254,-1.706,0.026,0.02,90,,,,8.62,8.46,,7.729,7.656,7.578,,,,,,0.547651
74.854583,48.921944,8113,LS   V +48  24,"(4.0, 59.0, 25.1)",10.5,P,04 59 25.1,+48 55 19,158.49,3.96,Simbad,BD+48  1191,74.8547602324,48.9218545029,0.0,0.0,90.0,9,04 59 25.14246,+48 55 18.6762,A,2020yCat.1350....0G,Star,*|IR,-28.448,0.551,-9.49E-5,1.8E-6,B,,0.9899,0.0165,1.923,-1.846,0.022,0.017,90,,,,9.66,9.57,,9.004,9.047,8.99,,,,,,0.528747
66.3625,52.043889,7945,LS   V +51  19,"(4.0, 25.0, 27.0)",9.6,V,04 25 27.0,+52 02 38,152.58,1.95,Simbad,BD+51   921,66.3627451332,52.0437837682,0.0,0.0,90.0,14,04 25 27.05883,+52 02 37.6216,A,2020yCat.1350....0G,Star,*|IR,-27.3,10.0,-9.11E-5,3.34E-5,B0II,,0.2037,0.0144,-0.178,-0.831,0.016,0.013,90,,,,10.32,9.69,,8.046,7.809,7.739,,,,,,0.661908
78.1575,44.435,8230,LS   V +44  32,"(5.0, 12.0, 37.8)",7.8,V,05 12 37.8,+44 26 06,163.45,3.08,Simbad,HD  33459,78.1572984444,44.4351736843,0.0,0.0,90.0,20,05 12 37.75163,+44 26 06.6253,A,2020yCat.1350....0G,Star,*|IR,-26.6,1.4,-8.87E-5,4.7E-6,B8,,0.7699,0.047,-0.555,-1.99,0.069,0.044,90,,,,7.8,7.77,,7.581,7.549,7.568,,,,,,0.81203
63.7575,57.460278,7912,LS   V +57  58,"(4.0, 15.0, 1.8)",6.1,V,04 15 01.8,+57 27 37,147.69,4.73,Simbad,HD  26553,63.7574807408,57.460364493,0.0,0.0,90.0,38,04 15 01.79538,+57 27 37.3122,A,2020yCat.1350....0G,Star,*|IR,-24.9,1.6,-8.31E-5,5.3E-6,A4III,,1.5391,0.037,-2.866,0.158,0.037,0.033,90,,,,6.68,6.08,,4.81,4.483,4.329,,,,,,0.3136
63.015833,35.359722,7907,LS   V +35   2,"(4.0, 12.0, 3.8)",7.5,V,04 12 03.8,+35 21 35,162.67,-11.6,Simbad,HD  26407,63.01602564,35.3595607843,0.0,0.0,90.0,16,04 12 03.84615,+35 21 34.4188,A,2020yCat.1350....0G,Star,*|IR|UV,-23.5,0.7,-7.84E-5,2.3E-6,A0,,1.0273,0.0242,0.218,-3.031,0.027,0.019,90,,,,7.91,7.59,,6.709,6.636,6.562,,,,,,0.810379
65.84375,42.64,7942,LS   V +42   4,"(4.0, 23.0, 22.5)",10.6,P,04 23 22.5,+42 38 24,159.05,-4.89,Simbad,HD 276238,65.8439544276,42.6398422098,0.0,0.0,90.0,8,04 23 22.54906,+42 38 23.4320,A,2020yCat.1350....0G,Star,*|IR,-22.048,0.796,-7.35E-5,2.7E-6,B5,,1.0753,0.08,-0.743,-3.562,0.072,0.051,90,,,,10.72,10.54,,9.713,9.671,9.621,,,,,,0.784705
75.551667,43.861944,8134,LS   V +43  24,"(5.0, 2.0, 12.4)",9.4,V,05 02 12.4,+43 51 43,162.78,1.24,Simbad,BD+43  1168,75.5518088838,43.8618146296,0.0,0.0,90.0,19,05 02 12.43413,+43 51 42.5327,A,2020yCat.1350....0G,SG*,*|**|IR|sg*,-22.0,,-7.34E-5,,B9Iab,,0.2271,0.0148,0.078,-0.483,0.02,0.015,90,,,,10.31,9.39,,7.255,6.964,6.802,,,,,,0.593749
72.245,43.497778,8055,LS   V +43  14,"(4.0, 48.0, 58.8)",9.5,V,04 48 58.8,+43 29 52,161.57,-0.85,Simbad,HD 276831,72.2449421955,43.497964119,0.0,0.0,90.0,9,04 48 58.78613,+43 29 52.6708,A,2020yCat.1350....0G,Star,*|IR,-21.952,0.404,-7.32E-5,1.3E-6,B5,,0.9782,0.0197,0.437,-2.348,0.023,0.02,90,,,,9.58,9.53,,9.125,9.08,9.091,,,,,,0.686822
